size,trial,mmap_time,matrix_mul_time
64,1,0.083000,0.443000
64,2,0.078000,0.649000
64,3,0.079000,0.438000
64,4,0.078000,0.432000
64,5,0.079000,0.438000
64,6,0.077000,0.440000
64,7,0.079000,0.436000
64,8,0.079000,0.440000
64,9,0.088000,0.501000
64,10,0.080000,0.435000
128,1,0.124000,1.592000
128,2,0.148000,1.609000
128,3,0.122000,1.693000
128,4,0.123000,2.476000
128,5,0.126000,2.271000
128,6,0.121000,1.591000
128,7,0.131000,1.593000
128,8,0.128000,1.598000
128,9,0.125000,1.590000
128,10,0.131000,1.593000
256,1,0.332000,6.254000
256,2,0.321000,6.576000
256,3,0.311000,6.204000
256,4,0.321000,6.573000
256,5,0.584000,6.222000
256,6,0.317000,6.436000
256,7,0.319000,6.450000
256,8,0.322000,6.360000
256,9,0.321000,6.459000
256,10,0.325000,6.202000
512,1,1.098000,25.070000
512,2,1.066000,26.358000
512,3,1.054000,25.268000
512,4,1.263000,25.841000
512,5,1.060000,26.503000
512,6,1.090000,25.260000
512,7,1.103000,25.273000
512,8,1.059000,24.954000
512,9,1.550000,25.456000
512,10,1.113000,25.029000
